The data of the Swiss Glacier Monitoring Network (GLAMOS) are freely available (https://www.glamos.ch) and may be used with indication of the source for scientific and non-commercial use.
"When using these data, please cite as:"
"GLAMOS (2025). Swiss Glacier Length Change, release 2025, Glacier Monitoring Switzerland, doi:10.18750/lengthchange.2025.r2025."
SWISS GLACIER LENGTH CHANGE
"glacier name,glacier id,start date of observation,quality of start date,end date of observation,quality of end date,length change,elevation of glacier tongue,observer"
"Silvrettagletscher,A10g-05,2009-09-09,,2010-09-22,,-7.70,2467.2,VAW/ETHZ; Andreas Bauder"
"Silvrettagletscher,A10g-05,2010-09-22,,2011-09-16,,-11.80,2466.8,VAW/ETHZ; Andreas Bauder"
"Silvrettagletscher,A10g-05,2011-09-16,,2012-08-20,,-7.60,2466.9,VAW/ETHZ; Andreas Bauder"
"Silvrettagletscher,A10g-05,2012-08-20,,2013-08-22,,-23.60,2464.3,VAW/ETHZ; Andreas Bauder"
"Silvrettagletscher,A10g-05,2013-08-22,,2014-09-27,,-7.10,2466.7,VAW/ETHZ; Andreas Bauder"
"Silvrettagletscher,A10g-05,2014-09-27,,2015-08-07,,-6.90,2466.9,VAW/ETHZ; Andreas Bauder"
"Silvrettagletscher,A10g-05,2015-08-07,,2016-09-07,,-16.50,2471.8,VAW/ETHZ; Andreas Bauder"
"Silvrettagletscher,A10g-05,2016-09-07,,2017-08-25,,-16.80,,VAW/ETHZ; Andreas Bauder"
"Silvrettagletscher,A10g-05,2017-08-25,,2018-08-16,,-13.70,,VAW/ETHZ; Andreas Bauder"
"Silvrettagletscher,A10g-05,2018-08-16,,2019-09-29,,-24.70,,VAW/ETHZ; Andreas Bauder"
"Silvrettagletscher,A10g-05,2019-09-29,,2020-09-13,,-18.50,,VAW/ETHZ; Andreas Bauder"
"Silvrettagletscher,A10g-05,2020-09-13,,2021-09-01,,-8.70,,VAW/ETHZ; Andreas Bauder"
"Silvrettagletscher,A10g-05,2021-09-01,,2022-09-12,,-30.70,,VAW/ETHZ; Andreas Bauder"
"Silvrettagletscher,A10g-05,2022-09-12,,2023-08-24,,-12.30,,VAW/ETHZ; Andreas Bauder"
"Silvrettagletscher,A10g-05,2023-08-24,,2024-09-18,,-25.50,,VAW/ETHZ; Andreas Bauder"
"Verstanclagletscher,A10g-08,1926-09-01,x,1927-09-01,x,-30.00,,-"
"Verstanclagletscher,A10g-08,1927-09-01,x,1928-09-01,x,10.00,,-"
"Verstanclagletscher,A10g-08,1928-09-01,x,1929-09-01,x,-2.00,,-"
"Verstanclagletscher,A10g-08,1929-09-01,x,1930-09-01,x,-6.00,,-"
"Verstanclagletscher,A10g-08,1930-09-01,x,1931-09-01,x,-4.00,,-"
"Verstanclagletscher,A10g-08,1931-09-01,x,1932-09-01,x,-8.00,,-"
"Verstanclagletscher,A10g-08,1932-09-01,x,1933-09-01,x,-4.00,,-"
"Verstanclagletscher,A10g-08,1933-09-01,x,1934-09-01,x,-4.00,,-"
"Verstanclagletscher,A10g-08,1934-09-01,x,1936-09-01,x,-22.00,,-"
"Verstanclagletscher,A10g-08,1936-09-01,x,1937-09-01,x,8.00,,-"
"Verstanclagletscher,A10g-08,1937-09-01,x,1938-09-01,x,-10.00,,-"
"Verstanclagletscher,A10g-08,1938-09-01,x,1940-09-01,x,-13.00,,-"
"Verstanclagletscher,A10g-08,1940-09-01,x,1942-09-01,x,-28.00,,-"
"Verstanclagletscher,A10g-08,1942-09-01,x,1943-09-01,x,-14.00,,-"
"Verstanclagletscher,A10g-08,1943-09-01,x,1945-09-01,x,-15.00,,-"
"Verstanclagletscher,A10g-08,1945-09-01,x,1946-09-01,x,24.00,,-"
"Verstanclagletscher,A10g-08,1946-09-01,x,1947-09-01,x,-56.00,,-"
"Verstanclagletscher,A10g-08,1947-09-01,x,1948-09-01,x,-13.00,,-"
"Verstanclagletscher,A10g-08,1948-09-01,x,1949-09-01,x,-21.00,,-"
"Verstanclagletscher,A10g-08,1949-09-01,x,1950-09-01,x,-20.00,,-"
"Verstanclagletscher,A10g-08,1950-09-01,x,1951-09-01,x,18.00,,-"
"Verstanclagletscher,A10g-08,1951-09-01,x,1953-09-01,x,-34.00,,-"
"Verstanclagletscher,A10g-08,1955-09-01,x,1957-09-01,x,43.00,,-"
"Verstanclagletscher,A10g-08,1957-09-01,x,1958-09-01,x,-11.00,,-"
"Verstanclagletscher,A10g-08,1958-09-01,x,1959-09-01,x,-20.00,,-"
"Verstanclagletscher,A10g-08,1959-09-01,x,1961-09-01,x,-8.00,,-"
"Verstanclagletscher,A10g-08,1961-09-01,x,1962-09-01,x,-4.00,,-"
"Verstanclagletscher,A10g-08,1962-09-01,x,1963-09-01,x,-6.00,,-"
"Verstanclagletscher,A10g-08,1963-09-01,x,1964-09-01,x,-10.00,,-"
"Verstanclagletscher,A10g-08,1964-09-01,x,1965-09-01,x,-2.00,,-"
"Verstanclagletscher,A10g-08,1965-09-01,x,1966-09-01,x,-4.00,,-"
"Verstanclagletscher,A10g-08,1966-09-01,x,1967-09-01,x,-1.00,,-"
"Verstanclagletscher,A10g-08,1967-09-01,x,1968-09-01,x,2.00,,-"
"Verstanclagletscher,A10g-08,1968-09-01,x,1969-09-01,x,-8.00,,-"
"Verstanclagletscher,A10g-08,1969-09-01,x,1972-09-01,x,12.00,,-"
"Verstanclagletscher,A10g-08,1972-09-01,x,1973-09-01,x,0.00,,-"
"Verstanclagletscher,A10g-08,1973-09-01,x,1974-09-01,x,2.00,,-"
"Verstanclagletscher,A10g-08,1974-09-01,x,1975-09-01,x,9.00,,-"
"Verstanclagletscher,A10g-08,1975-09-01,x,1976-09-01,x,-6.00,,-"
"Verstanclagletscher,A10g-08,1976-09-01,x,1977-09-01,x,6.00,,-"
"Verstanclagletscher,A10g-08,1977-09-01,x,1978-09-01,x,6.00,,-"
"Verstanclagletscher,A10g-08,1978-09-01,x,1979-09-01,x,4.00,,-"
"Verstanclagletscher,A10g-08,1979-09-01,x,1980-09-01,x,6.00,,-"
"Verstanclagletscher,A10g-08,1980-09-01,x,1981-09-01,x,4.00,,-"
"Verstanclagletscher,A10g-08,1981-09-01,x,1982-09-01,x,-5.00,,-"
"Verstanclagletscher,A10g-08,1982-09-01,x,1983-09-01,x,6.00,,-"
"Verstanclagletscher,A10g-08,1983-09-01,x,1984-09-01,x,2.00,,-"
"Verstanclagletscher,A10g-08,1984-09-01,x,1985-09-01,x,11.00,,-"
"Verstanclagletscher,A10g-08,1985-09-01,x,1986-09-01,x,-5.00,,-"
"Verstanclagletscher,A10g-08,1986-09-01,x,1987-09-01,x,0.00,,-"
"Verstanclagletscher,A10g-08,1987-09-01,x,1988-09-01,x,-6.00,,-"
"Verstanclagletscher,A10g-08,1988-09-01,x,1989-09-01,x,-1.00,,-"
"Verstanclagletscher,A10g-08,1989-09-01,x,1990-09-01,x,-2.00,,-"
"Verstanclagletscher,A10g-08,1990-09-01,x,1991-09-01,x,-6.00,,-"
"Verstanclagletscher,A10g-08,1991-09-01,x,1992-09-01,x,-10.00,,-"
"Verstanclagletscher,A10g-08,1992-09-01,x,1994-09-01,x,-30.00,,-"
"Verstanclagletscher,A10g-08,1994-09-01,x,1995-09-01,x,-3.00,,-"
"Verstanclagletscher,A10g-08,1995-09-01,x,1996-09-01,x,-4.00,,-"
"Verstanclagletscher,A10g-08,1996-09-01,x,1997-09-01,x,-2.00,,-"
"Verstanclagletscher,A10g-08,1997-09-01,x,1998-09-01,x,-9.00,,-"
"Verstanclagletscher,A10g-08,1998-09-01,x,1999-09-01,x,-10.00,,-"
"Verstanclagletscher,A10g-08,1999-08-30,,2000-08-29,,-15.00,2380,AfW/GR; J. Stahel"
"Verstanclagletscher,A10g-08,2000-08-29,,2001-08-27,,-5.25,2380,AfW/GR; Michel Maikoff"
"Verstanclagletscher,A10g-08,2001-08-27,,2002-08-27,,-24.00,2400,AfW/GR; Michel Maikoff"
"Verstanclagletscher,A10g-08,2002-08-27,,2003-08-26,,-22.00,2400,AfW/GR; Michel Maikoff"
"Verstanclagletscher,A10g-08,2003-08-26,,2004-08-25,,-3.30,2400,AfW/GR; Michel Maikoff"
"Verstanclagletscher,A10g-08,2004-08-25,,2005-09-06,,-14.70,2405,AfW/GR; Michel Maikoff"
"Verstanclagletscher,A10g-08,2005-09-06,,2006-09-12,,-20.70,2405,AfW/GR; Michel Maikoff"
"Verstanclagletscher,A10g-08,2006-09-12,,2007-09-17,,-20.70,2420,AfW/GR; Michel Maikoff"
"Verstanclagletscher,A10g-08,2007-09-17,,2008-09-03,,-9.00,2420,AfW/GR; Michel Maikoff"
"Verstanclagletscher,A10g-08,2008-09-03,,2009-09-01,,-10.30,2425,AfW/GR; Michel Maikoff"
"Verstanclagletscher,A10g-08,2009-09-01,,2010-09-16,,-10.00,2425,AfW/GR; Ines Bühler"
"Verstanclagletscher,A10g-08,2010-09-16,,2011-09-06,,-19.90,2450,AfW/GR; Michel Maikoff"
"Verstanclagletscher,A10g-08,2011-09-06,,2012-08-29,,-17.00,,AfW/GR; Michel Maikoff"
"Verstanclagletscher,A10g-08,2012-08-29,,2013-08-30,,-12.70,,AWN/GR; Ines Aust"
"Verstanclagletscher,A10g-08,2013-08-30,,2014-09-04,,-8.80,2455,AWN/GR; Daniel Oertig"
"Verstanclagletscher,A10g-08,2014-09-04,,2015-08-28,,-18.30,2460,AWN/GR; Daniel Oertig"
"Verstanclagletscher,A10g-08,2015-08-28,,2016-09-09,,-13.50,,AWN/GR; Daniel Oertig"
"Verstanclagletscher,A10g-08,2016-09-09,,2017-09-08,,-13.70,2431,AWN/GR; Peter Ebneter"
"Verstanclagletscher,A10g-08,2017-09-08,,2018-09-19,,-20.40,2434,AWN/GR; Peter Ebneter"
"Verstanclagletscher,A10g-08,2018-09-19,,2019-08-22,,-8.30,2438,AWN/GR; Peter Ebneter"
"Verstanclagletscher,A10g-08,2019-08-22,,2021-09-22,,-43.50,,AWN/GR; Johannes Jakob"
"Verstanclagletscher,A10g-08,2021-09-22,,2023-09-20,,-97.70,2438,AWN/GR; Annabarbara Beilstein"
"Verstanclagletscher,A10g-08,2023-09-20,,2024-10-17,,-43.60,2454,AWN/GR; Johannes Jakob"
"Jörigletscher,A10g-18,1895-09-01,x,1896-09-01,x,0.00,,-"
"Jörigletscher,A10g-18,1896-09-01,x,1898-09-01,x,0.00,,-"
"Jörigletscher,A10g-18,1898-09-01,x,1900-09-01,x,-10.00,,-"
"Jörigletscher,A10g-18,1900-09-01,x,1901-09-01,x,-10.00,,-"
"Jörigletscher,A10g-18,1901-09-01,x,1902-09-01,x,-2.00,,-"
"Jörigletscher,A10g-18,1902-09-01,x,1906-09-01,x,-25.00,,-"
"Scalettagletscher,A12d-03,1895-09-01,x,1898-09-01,x,5.00,,Krättli"
"Scalettagletscher,A12d-03,1898-09-01,x,1900-09-01,x,-8.30,,-"
"Scalettagletscher,A12d-03,1900-09-01,x,1901-09-01,x,-7.00,,-"
"Scalettagletscher,A12d-03,1901-09-01,x,1902-09-01,x,-2.00,,-"
"Scalettagletscher,A12d-03,1902-09-01,x,1903-09-01,x,3.00,,-"
"Scalettagletscher,A12d-03,1903-09-01,x,1904-09-01,x,-8.00,,-"
"Scalettagletscher,A12d-03,1904-09-01,x,1906-09-01,x,-10.00,,-"
"Scalettagletscher,A12d-03,1906-09-01,x,1908-09-01,x,3.00,,-"
"Scalettagletscher,A12d-03,1908-09-01,x,1909-09-01,x,7.00,,-"
"Scalettagletscher,A12d-03,1909-09-01,x,1911-09-01,x,-9.00,,-"
"Scalettagletscher,A12d-03,1918-09-01,x,1919-09-01,x,6.50,,-"
"Scalettagletscher,A12d-03,1920-09-01,x,1921-09-01,x,4.00,,-"
"Scalettagletscher,A12d-03,1929-09-01,x,1930-09-01,x,0.00,,-"
"Scalettagletscher,A12d-03,1930-09-01,x,1931-09-01,x,-6.00,,-"
"Scalettagletscher,A12d-03,1931-09-01,x,1932-09-01,x,-8.00,,-"
"Scalettagletscher,A12d-03,1932-09-01,x,1933-09-01,x,-4.00,,-"
"Scalettagletscher,A12d-03,1933-09-01,x,1934-09-01,x,7.00,,-"
"Scalettagletscher,A12d-03,1934-09-01,x,1935-09-01,x,-6.00,,-"
"Scalettagletscher,A12d-03,1998-09-01,x,1999-09-01,x,-3.00,,Martin Laternser"
"Scalettagletscher,A12d-03,1999-09-15,,2000-08-26,,-5.00,2580,Martin Laternser"
"Scalettagletscher,A12d-03,2000-08-26,,2003-09-05,,-15.50,,Bernardo Teufen"
"Scalettagletscher,A12d-03,2003-09-05,,2004-09-02,,-3.10,,Bernardo Teufen"
"Scalettagletscher,A12d-03,2004-09-02,,2005-09-05,,-3.30,,Bernardo Teufen"
"Scalettagletscher,A12d-03,2005-09-05,,2006-09-16,,-7.40,2580,Bernardo Teufen"
"Scalettagletscher,A12d-03,2006-09-16,,2007-09-13,,-19.60,2585,Bernardo Teufen"
"Scalettagletscher,A12d-03,2007-09-13,,2008-08-27,,-21.70,2585,Bernardo Teufen"
"Scalettagletscher,A12d-03,2008-08-27,,2009-09-01,,-6.30,2590,Bernardo Teufen"
"Scalettagletscher,A12d-03,2009-09-01,,2010-08-26,,-4.40,2595,Bernardo Teufen"
"Scalettagletscher,A12d-03,2010-08-26,,2011-08-23,,-5.90,2598,Bernardo Teufen"
"Scalettagletscher,A12d-03,2011-08-23,,2012-08-28,,-2.50,2605,Bernardo Teufen"
"Scalettagletscher,A12d-03,2013-09-07,,2017-07-31,,-240.00,2670,Bernardo Teufen"
"Scalettagletscher,A12d-03,2017-07-31,,2018-09-14,,-100.00,2721,Bernardo Teufen"
"Scalettagletscher,A12d-03,2018-09-14,,2019-09-20,,-20.00,2731,Bernardo Teufen"
"Scalettagletscher,A12d-03,2019-09-20,,2020-09-09,,-6.00,2721,Bernardo Teufen"
"Scalettagletscher,A12d-03,2020-09-09,,2022-07-18,,-11.40,,VAW/ETHZ; Andreas Bauder"
"Vadret da Porchabella,A12e-04,1893-09-01,x,1894-09-01,x,2.00,,-"
"Vadret da Porchabella,A12e-04,1894-09-01,x,1895-09-01,x,-8.00,,-"
"Vadret da Porchabella,A12e-04,1895-09-01,x,1897-09-01,x,-10.00,,-"
"Vadret da Porchabella,A12e-04,1897-09-01,x,1899-09-01,x,-8.00,,-"
"Vadret da Porchabella,A12e-04,1899-09-01,x,1900-09-01,x,-11.00,,-"
"Vadret da Porchabella,A12e-04,1900-09-01,x,1901-09-01,x,-4.00,,-"
"Vadret da Porchabella,A12e-04,1901-09-01,x,1902-09-01,x,-6.00,,-"
"Vadret da Porchabella,A12e-04,1902-09-01,x,1903-09-01,x,-4.00,,-"
"Vadret da Porchabella,A12e-04,1903-09-01,x,1904-09-01,x,-8.00,,-"
"Vadret da Porchabella,A12e-04,1904-09-01,x,1905-09-01,x,-12.00,,-"
"Vadret da Porchabella,A12e-04,1905-09-01,x,1906-09-01,x,-7.00,,-"
"Vadret da Porchabella,A12e-04,1906-09-01,x,1907-09-01,x,-6.00,,-"
"Vadret da Porchabella,A12e-04,1907-09-01,x,1908-09-01,x,-7.00,,-"
"Vadret da Porchabella,A12e-04,1908-09-01,x,1909-09-01,x,-7.00,,-"
"Vadret da Porchabella,A12e-04,1909-09-01,x,1910-09-01,x,-3.00,,-"
"Vadret da Porchabella,A12e-04,1910-09-01,x,1911-09-01,x,-21.00,,-"
"Vadret da Porchabella,A12e-04,1911-09-01,x,1912-09-01,x,14.00,,-"
"Vadret da Porchabella,A12e-04,1912-09-01,x,1913-09-01,x,-5.00,,-"
"Vadret da Porchabella,A12e-04,1913-09-01,x,1914-09-01,x,1.00,,-"
"Vadret da Porchabella,A12e-04,1914-09-01,x,1916-09-01,x,-2.00,,-"
"Vadret da Porchabella,A12e-04,1916-09-01,x,1918-09-01,x,-6.00,,-"
"Vadret da Porchabella,A12e-04,1918-09-01,x,1919-09-01,x,6.00,,-"
"Vadret da Porchabella,A12e-04,1919-09-01,x,1920-09-01,x,-1.00,,-"
"Vadret da Porchabella,A12e-04,1920-09-01,x,1921-09-01,x,-5.00,,-"
"Vadret da Porchabella,A12e-04,1921-09-01,x,1922-09-01,x,-5.00,,-"
"Vadret da Porchabella,A12e-04,1922-09-01,x,1923-09-01,x,-7.00,,-"
"Vadret da Porchabella,A12e-04,1923-09-01,x,1924-09-01,x,-5.00,,-"
"Vadret da Porchabella,A12e-04,1924-09-01,x,1925-09-01,x,-8.00,,-"
"Vadret da Porchabella,A12e-04,1925-09-01,x,1926-09-01,x,0.00,,-"
"Vadret da Porchabella,A12e-04,1926-09-01,x,1927-09-01,x,-8.00,,-"
"Vadret da Porchabella,A12e-04,1927-09-01,x,1928-09-01,x,-14.00,,-"
"Vadret da Porchabella,A12e-04,1928-09-01,x,1929-09-01,x,-8.00,,-"
"Vadret da Porchabella,A12e-04,1929-09-01,x,1930-09-01,x,-12.00,,-"
"Vadret da Porchabella,A12e-04,1930-09-01,x,1931-09-01,x,-13.00,,-"
"Vadret da Porchabella,A12e-04,1931-09-01,x,1932-09-01,x,-4.00,,-"
"Vadret da Porchabella,A12e-04,1932-09-01,x,1933-09-01,x,-10.00,,-"
"Vadret da Porchabella,A12e-04,1933-09-01,x,1934-09-01,x,-14.00,,-"
"Vadret da Porchabella,A12e-04,1934-09-01,x,1935-09-01,x,-10.00,,-"
"Vadret da Porchabella,A12e-04,1935-09-01,x,1936-09-01,x,-4.00,,-"
"Vadret da Porchabella,A12e-04,1936-09-01,x,1937-09-01,x,-12.00,,-"
"Vadret da Porchabella,A12e-04,1937-09-01,x,1938-09-01,x,-11.00,,-"
"Vadret da Porchabella,A12e-04,1938-09-01,x,1940-09-01,x,-16.00,,-"
"Vadret da Porchabella,A12e-04,1940-09-01,x,1941-09-01,x,-8.00,,-"
"Vadret da Porchabella,A12e-04,1941-09-01,x,1943-09-01,x,-23.00,,-"
"Vadret da Porchabella,A12e-04,1943-09-01,x,1945-09-01,x,-10.00,,-"
"Vadret da Porchabella,A12e-04,1945-09-01,x,1946-09-01,x,-28.00,,-"
"Vadret da Porchabella,A12e-04,1946-09-01,x,1947-09-01,x,-41.00,,-"
"Vadret da Porchabella,A12e-04,1947-09-01,x,1948-09-01,x,-14.00,,-"
"Vadret da Porchabella,A12e-04,1948-09-01,x,1949-09-01,x,-26.00,,-"
"Vadret da Porchabella,A12e-04,1949-09-01,x,1950-09-01,x,-34.00,,-"
"Vadret da Porchabella,A12e-04,1950-09-01,x,1951-09-01,x,-23.00,,-"
"Vadret da Porchabella,A12e-04,1951-09-01,x,1953-09-01,x,-34.00,,-"
"Vadret da Porchabella,A12e-04,1953-09-01,x,1954-09-01,x,-10.00,,-"
"Vadret da Porchabella,A12e-04,1954-09-01,x,1956-09-01,x,-30.00,,-"
"Vadret da Porchabella,A12e-04,1956-09-01,x,1957-09-01,x,-8.00,,-"
"Vadret da Porchabella,A12e-04,1957-09-01,x,1958-09-01,x,-22.00,,-"
"Vadret da Porchabella,A12e-04,1958-09-01,x,1961-09-01,x,-43.00,,-"
"Vadret da Porchabella,A12e-04,1961-09-01,x,1962-09-01,x,-8.00,,-"
"Vadret da Porchabella,A12e-04,1962-09-01,x,1963-09-01,x,-22.00,,-"
"Vadret da Porchabella,A12e-04,1963-09-01,x,1964-09-01,x,-24.00,,-"
"Vadret da Porchabella,A12e-04,1964-09-01,x,1965-09-01,x,-31.00,,-"
"Vadret da Porchabella,A12e-04,1965-09-01,x,1966-09-01,x,-8.00,,-"
"Vadret da Porchabella,A12e-04,1966-09-01,x,1967-09-01,x,-9.00,,-"
"Vadret da Porchabella,A12e-04,1967-09-01,x,1968-09-01,x,-13.00,,-"
"Vadret da Porchabella,A12e-04,1968-09-01,x,1969-09-01,x,-18.00,,-"
"Vadret da Porchabella,A12e-04,1969-09-01,x,1970-09-01,x,-10.00,,-"
"Vadret da Porchabella,A12e-04,1970-09-01,x,1971-09-01,x,-16.00,,-"
"Vadret da Porchabella,A12e-04,1971-09-01,x,1972-09-01,x,-1.00,,-"
"Vadret da Porchabella,A12e-04,1972-09-01,x,1975-09-01,x,-80.00,,-"
"Vadret da Porchabella,A12e-04,1975-09-01,x,1976-09-01,x,-20.00,,-"
"Vadret da Porchabella,A12e-04,1976-09-01,x,1977-09-01,x,-8.00,,-"
"Vadret da Porchabella,A12e-04,1977-09-01,x,1978-09-01,x,-4.00,,-"
"Vadret da Porchabella,A12e-04,1978-09-01,x,1979-09-01,x,-37.00,,-"
"Vadret da Porchabella,A12e-04,1979-09-01,x,1980-09-01,x,0.00,,-"
"Vadret da Porchabella,A12e-04,1980-09-01,x,1981-09-01,x,-8.00,,-"
"Vadret da Porchabella,A12e-04,1981-09-01,x,1982-09-01,x,-10.00,,-"
"Vadret da Porchabella,A12e-04,1982-09-01,x,1983-09-01,x,-3.00,,-"
"Vadret da Porchabella,A12e-04,1983-09-01,x,1984-09-01,x,-8.00,,-"
"Vadret da Porchabella,A12e-04,1984-09-01,x,1985-09-01,x,-6.00,,-"
"Vadret da Porchabella,A12e-04,1985-09-01,x,1986-09-01,x,-8.00,,-"
"Vadret da Porchabella,A12e-04,1986-09-01,x,1987-09-01,x,-7.00,,-"
"Vadret da Porchabella,A12e-04,1987-09-01,x,1988-09-01,x,-7.00,,-"
"Vadret da Porchabella,A12e-04,1988-09-01,x,1989-09-01,x,-4.00,,-"
"Vadret da Porchabella,A12e-04,1989-09-01,x,1990-09-01,x,-7.00,,-"
"Vadret da Porchabella,A12e-04,1990-09-01,x,1991-09-01,x,-9.00,,-"
"Vadret da Porchabella,A12e-04,1991-09-01,x,1992-09-01,x,-10.00,,-"
"Vadret da Porchabella,A12e-04,1992-09-01,x,1994-09-01,x,-15.00,,-"
"Vadret da Porchabella,A12e-04,1994-09-01,x,1995-09-01,x,-6.00,,-"
"Vadret da Porchabella,A12e-04,1995-09-01,x,1997-09-01,x,-14.00,,-"
"Vadret da Porchabella,A12e-04,1997-09-01,x,1998-09-01,x,-16.00,,-"
"Vadret da Porchabella,A12e-04,1998-09-01,x,1999-09-17,,-7.00,,-"
"Vadret da Porchabella,A12e-04,1999-09-17,,2000-09-06,,-6.60,2641.2,Christian Barandun"
"Vadret da Porchabella,A12e-04,2000-09-06,,2001-10-10,,-0.50,2641.2,Christian Barandun"
"Vadret da Porchabella,A12e-04,2001-10-10,,2003-08-20,,-32.00,2646,Christian Barandun"
"Vadret da Porchabella,A12e-04,2003-08-20,,2004-08-25,,-11.00,2646,Christian Barandun"
"Vadret da Porchabella,A12e-04,2004-08-25,,2005-09-08,,-19.80,2645,Christian Barandun"
